bowler,runs_given,balls_bowled,wickets,economy,average
A Ashish Reddy,396.0,262,19.0,9.068702290076336,20.842105263157894
A Badoni,49.0,35,4.0,8.4,12.25
A Chandila,242.0,234,11.0,6.205128205128205,22.0
A Choudhary,144.0,101,5.0,8.554455445544555,28.8
A Dananjaya,47.0,24,0.0,11.75,0.0
A Flintoff,105.0,66,2.0,9.545454545454545,52.5
A Kamboj,443.0,277,18.0,9.595667870036102,24.61111111111111
A Kumble,1058.0,965,49.0,6.578238341968912,21.591836734693878
A Mishra,4145.0,3371,183.0,7.377632749925837,22.650273224043715
A Mithun,472.0,288,8.0,9.833333333333334,59.0
A Nehra,2495.0,1908,121.0,7.845911949685535,20.619834710743802
A Nel,31.0,18,1.0,10.333333333333334,31.0
A Nortje,1696.0,1120,63.0,9.085714285714285,26.92063492063492
A Singh,620.0,473,31.0,7.864693446088795,20.0
A Symonds,674.0,527,23.0,7.673624288425048,29.304347826086957
A Uniyal,66.0,36,3.0,11.0,22.0
A Zampa,652.0,467,32.0,8.376873661670237,20.375
AA Chavan,326.0,248,8.0,7.887096774193548,40.75
AA Jhunjhunwala,129.0,85,1.0,9.105882352941176,129.0
AA Kazi,21.0,12,1.0,10.5,21.0
AA Noffke,40.0,24,1.0,10.0,40.0
AB Agarkar,1151.0,782,33.0,8.831202046035806,34.878787878787875
AB Dinda,2073.0,1516,82.0,8.20448548812665,25.28048780487805
AB McDonald,261.0,186,14.0,8.419354838709678,18.642857142857142
AC Gilchrist,0.0,1,1.0,0.0,0.0
AC Thomas,406.0,315,16.0,7.733333333333333,25.375
AC Voges,76.0,54,1.0,8.444444444444445,76.0
AD Mascarenhas,356.0,308,19.0,6.9350649350649345,18.736842105263158
AD Mathews,1079.0,791,28.0,8.18457648546144,38.535714285714285
AD Russell,2863.0,1806,133.0,9.511627906976743,21.526315789473685
AF Milne,327.0,207,9.0,9.478260869565217,36.333333333333336
AG Murtaza,313.0,264,12.0,7.113636363636363,26.083333333333332
AJ Finch,67.0,43,1.0,9.348837209302324,67.0
AJ Hosein,60.0,36,1.0,10.0,60.0
AJ Tye,979.0,684,48.0,8.587719298245615,20.395833333333332
AK Markram,302.0,203,6.0,8.926108374384237,50.333333333333336
AL Menaria,144.0,110,3.0,7.854545454545455,48.0
AM Ghazanfar,72.0,36,2.0,12.0,36.0
AM Nayar,322.0,229,9.0,8.436681222707424,35.77777777777778
AM Rahane,5.0,6,1.0,5.0,5.0
AM Salvi,200.0,150,7.0,8.0,28.571428571428573
AN Ahmed,498.0,344,15.0,8.686046511627907,33.2
AP Dole,112.0,66,5.0,10.181818181818182,22.4
AR Patel,4187.0,3405,140.0,7.377973568281939,29.90714285714286
AS Joseph,691.0,434,22.0,9.55299539170507,31.40909090909091
AS Rajpoot,814.0,529,24.0,9.232514177693762,33.916666666666664
AS Raut,44.0,30,0.0,8.8,0.0
AS Roy,281.0,203,11.0,8.305418719211822,25.545454545454547
AU Rashid,91.0,60,2.0,9.1,45.5
AUK Pathan,63.0,39,0.0,9.692307692307692,0.0
Abdul Samad,125.0,57,2.0,13.157894736842104,62.5
Abdur Razzak,29.0,12,0.0,14.5,0.0
Abhinandan Singh,122.0,58,3.0,12.620689655172415,40.666666666666664
Abhishek Sharma,523.0,347,11.0,9.043227665706052,47.54545454545455
Akash Deep,548.0,278,11.0,11.827338129496402,49.81818181818182
Akash Madhwal,590.0,352,26.0,10.056818181818182,22.692307692307693
Akash Singh,326.0,205,9.0,9.541463414634148,36.22222222222222
Aman Hakim Khan,13.0,6,0.0,13.0,0.0
Anand Rajan,201.0,149,10.0,8.093959731543624,20.1
Ankit Sharma,450.0,367,12.0,7.3569482288828345,37.5
Ankit Soni,144.0,109,4.0,7.9266055045871555,36.0
Anureet Singh,623.0,412,21.0,9.072815533980583,29.666666666666668
Arjun Tendulkar,114.0,73,4.0,9.36986301369863,28.5
Arshad Khan,497.0,260,12.0,11.46923076923077,41.416666666666664
Arshad Khan (2),24.0,12,0.0,12.0,0.0
Arshdeep Singh,2719.0,1798,108.0,9.0734149054505,25.175925925925927
Ashok Sharma,145.0,84,4.0,10.357142857142858,36.25
Ashwani Kumar,232.0,123,11.0,11.317073170731707,21.09090909090909
Atharva Taide,4.0,1,0.0,24.0,0.0
Auqib Nabi,17.0,12,0.0,8.5,0.0
Avesh Khan,2565.0,1679,97.0,9.166170339487792,26.443298969072163
Azhar Mahmood,700.0,537,31.0,7.82122905027933,22.580645161290324
Azmatullah Omarzai,465.0,288,12.0,9.6875,38.75
B Akhil,242.0,188,7.0,7.723404255319149,34.57142857142857
B Chipli,20.0,6,0.0,20.0,0.0
B Geeves,91.0,48,2.0,11.375,45.5
B Kumar,5521.0,4294,217.0,7.714485328365161,25.442396313364057
B Laughlin,282.0,168,10.0,10.071428571428571,28.2
B Lee,1095.0,875,30.0,7.508571428571428,36.5
B Muzarabani,75.0,42,5.0,10.714285714285714,15.0
B Stanlake,200.0,144,7.0,8.333333333333334,28.571428571428573
BA Bhatt,397.0,296,13.0,8.047297297297296,30.53846153846154
BA Stokes,992.0,689,31.0,8.638606676342526,32.0
BAW Mendis,303.0,244,9.0,7.450819672131148,33.666666666666664
BB Sran,757.0,483,20.0,9.403726708074535,37.85
BCJ Cutting,429.0,281,12.0,9.160142348754448,35.75
BE Hendricks,235.0,150,11.0,9.4,21.363636363636363
BJ Hodge,303.0,234,18.0,7.769230769230769,16.833333333333332
BJ Rohrer,12.0,6,0.0,12.0,0.0
BMAJ Mendis,36.0,30,1.0,7.2,36.0
BW Hilfenhaus,479.0,372,23.0,7.725806451612903,20.82608695652174
Basil Thampi,846.0,521,26.0,9.742802303262957,32.53846153846154
Bipul Sharma,572.0,426,22.0,8.056338028169014,26.0
Brijesh Sharma,54.0,42,3.0,7.714285714285714,18.0
C Bosch,94.0,61,2.0,9.245901639344263,47.0
C Ganapathy,13.0,6,0.0,13.0,0.0
C Green,692.0,451,21.0,9.20620842572062,32.95238095238095
C Munro,15.0,12,0.0,7.5,0.0
C Nanda,57.0,48,2.0,7.125,28.5
C Sakariya,638.0,444,20.0,8.621621621621621,31.9
C de Grandhomme,319.0,216,7.0,8.86111111111111,45.57142857142857
CH Gayle,729.0,554,19.0,7.8953068592057765,38.36842105263158
CH Morris,2309.0,1726,107.0,8.026651216685979,21.57943925233645
CJ Anderson,518.0,297,14.0,10.464646464646465,37.0
CJ Dala,34.0,18,0.0,11.333333333333334,0.0
CJ Green,24.0,17,0.0,8.470588235294118,0.0
CJ Jordan,1081.0,674,36.0,9.623145400593472,30.02777777777778
CJ McKay,60.0,42,1.0,8.571428571428571,60.0
CK Kapugedera,49.0,17,0.0,17.294117647058822,0.0
CK Langeveldt,187.0,156,13.0,7.1923076923076925,14.384615384615385
CL White,86.0,42,1.0,12.285714285714286,86.0
CR Brathwaite,379.0,254,16.0,8.952755905511811,23.6875
CR Woakes,658.0,440,31.0,8.972727272727273,21.225806451612904
CRD Fernando,298.0,234,19.0,7.641025641025641,15.68421052631579
CV Varun,2464.0,1924,102.0,7.6839916839916835,24.15686274509804
D Brevis,8.0,3,1.0,16.0,8.0
D Jansen,53.0,24,1.0,13.25,53.0
D Kalyankrishna,87.0,48,2.0,10.875,43.5
D Pretorius,238.0,150,7.0,9.52,34.0
D Salunkhe,78.0,47,1.0,9.957446808510639,78.0
D Wiese,440.0,296,17.0,8.91891891891892,25.88235294117647
D du Preez,56.0,42,4.0,8.0,14.0
DA Payne,70.0,30,2.0,14.0,35.0
DA Warner,2.0,1,0.0,12.0,0.0
DAJ Bracewell,32.0,24,3.0,8.0,10.666666666666666
DB Ravi Teja,28.0,18,1.0,9.333333333333334,28.0
DE Bollinger,693.0,576,43.0,7.21875,16.11627906976744
DG Nalkande,148.0,84,6.0,10.571428571428571,24.666666666666668
DJ Bravo,4360.0,3120,207.0,8.384615384615385,21.06280193236715
DJ Harris,26.0,18,0.0,8.666666666666666,0.0
DJ Hooda,546.0,379,10.0,8.643799472295514,54.6
DJ Hussey,474.0,317,10.0,8.97160883280757,47.4
DJ Mitchell,97.0,48,1.0,12.125,97.0
DJ Muthuswami,101.0,84,4.0,7.214285714285714,25.25
DJ Thornely,40.0,42,3.0,5.714285714285714,13.333333333333334
DJ Willey,272.0,216,7.0,7.555555555555555,38.857142857142854
DJG Sammy,350.0,236,14.0,8.898305084745763,25.0
DJM Short,19.0,18,1.0,6.333333333333333,19.0
DL Chahar,2639.0,1939,92.0,8.166064981949457,28.684782608695652
DL Vettori,879.0,777,34.0,6.787644787644788,25.852941176470587
DNT Zoysa,99.0,66,2.0,9.0,49.5
DP Nannes,785.0,646,38.0,7.291021671826625,20.657894736842106
DP Vijaykumar,199.0,152,4.0,7.855263157894737,49.75
DR Sams,523.0,360,15.0,8.716666666666667,34.86666666666667
DR Smith,810.0,539,27.0,9.01669758812616,30.0
DS Kulkarni,2474.0,1787,91.0,8.306659205372133,27.186813186813186
DS Rathi,531.0,384,17.0,8.296875,31.235294117647058
DT Christian,1192.0,883,40.0,8.099660249150624,29.8
DW Steyn,2523.0,2182,105.0,6.937671860678276,24.02857142857143
E Malinga,363.0,226,18.0,9.637168141592921,20.166666666666668
F du Plessis,16.0,6,0.0,16.0,0.0
FA Allen,136.0,90,2.0,9.066666666666666,68.0
FH Edwards,154.0,140,6.0,6.6000000000000005,25.666666666666668
FY Fazal,20.0,12,1.0,10.0,20.0
Fazalhaq Farooqi,437.0,254,6.0,10.32283464566929,72.83333333333333
G Coetzee,472.0,273,15.0,10.373626373626374,31.466666666666665
GB Hogg,570.0,458,25.0,7.467248908296944,22.8
GC Viljoen,222.0,138,8.0,9.652173913043478,27.75
GD McGrath,357.0,324,14.0,6.611111111111111,25.5
GD Phillips,40.0,30,2.0,8.0,20.0
GF Linde,28.0,18,0.0,9.333333333333334,0.0
GH Vihari,47.0,42,1.0,6.714285714285714,47.0
GHS Garton,135.0,90,3.0,9.0,45.0
GJ Maxwell,1413.0,1022,45.0,8.295499021526417,31.4
GR Napier,27.0,24,1.0,6.75,27.0
GS Sandhu,82.0,48,1.0,10.25,82.0
Gagandeep Singh,141.0,84,3.0,10.071428571428571,47.0
Gulbadin Naib,12.0,6,0.0,12.0,0.0
Gurjapneet Singh,39.0,24,1.0,9.75,39.0
Gurkeerat Singh,97.0,78,5.0,7.461538461538462,19.4
Gurnoor Brar,42.0,18,0.0,14.0,0.0
H Sharma,57.0,30,0.0,11.4,0.0
HF Gurney,238.0,162,7.0,8.814814814814815,34.0
HH Pandya,2548.0,1658,85.0,9.22074788902292,29.976470588235294
HR Shokeen,314.0,204,5.0,9.235294117647058,62.8
HV Patel,3673.0,2470,168.0,8.922267206477732,21.863095238095237
Harbhajan Singh,4030.0,3416,161.0,7.078454332552693,25.03105590062112
Harmeet Singh,697.0,525,30.0,7.965714285714285,23.233333333333334
Harmeet Singh (2),34.0,24,1.0,8.5,34.0
Harpreet Brar,1085.0,811,35.0,8.027127003699137,31.0
Harsh Dubey,206.0,138,10.0,8.956521739130435,20.6
Harshit Rana,1029.0,649,42.0,9.513097072419106,24.5
I Malhotra,23.0,6,0.0,23.0,0.0
I Sharma,3377.0,2419,100.0,8.376188507647788,33.77
I Udana,282.0,174,8.0,9.724137931034482,35.25
IC Pandey,591.0,462,19.0,7.675324675324675,31.105263157894736
IC Porel,39.0,24,1.0,9.75,39.0
IK Pathan,2649.0,2043,99.0,7.779735682819383,26.757575757575758
IS Sodhi,202.0,181,9.0,6.696132596685082,22.444444444444443
Imran Tahir,1703.0,1316,86.0,7.764437689969604,19.802325581395348
Iqbal Abdulla,1109.0,920,45.0,7.232608695652173,24.644444444444446
Ishan Kishan,4.0,1,0.0,24.0,0.0
J Botha,800.0,694,27.0,6.916426512968299,29.62962962962963
J Little,339.0,228,13.0,8.921052631578947,26.076923076923077
J Overton,157.0,84,5.0,11.214285714285714,31.4
J Suchith,602.0,420,20.0,8.6,30.1
J Syed Mohammad,283.0,192,10.0,8.84375,28.3
J Theron,302.0,221,13.0,8.199095022624434,23.23076923076923
J Yadav,445.0,390,9.0,6.846153846153846,49.44444444444444
JA Duffy,80.0,48,5.0,10.0,16.0
JA Morkel,2359.0,1723,96.0,8.214741729541498,24.572916666666668
JA Richardson,157.0,90,3.0,10.466666666666667,52.333333333333336
JC Archer,1709.0,1296,67.0,7.912037037037037,25.507462686567163
JD Ryder,303.0,236,11.0,7.703389830508474,27.545454545454547
JD Unadkat,3504.0,2351,125.0,8.942577626541897,28.032
JDP Oram,349.0,237,13.0,8.835443037974683,26.846153846153847
JDS Neesham,334.0,216,8.0,9.277777777777779,41.75
